Duration,Pulse,MaxPulse,Calories
60,110,130,409.1
45,117,145,240.0
,103,135,340.0
30,109,135,175.0
45,117,148,406.0
60,102,127,300.0
60,110,140,479.0
45,104,140,290.8
30,109,130,162.4
60,113,145,446.0
45,100,120,282.4
60,106,132,379.3
60,104,132,380.3
60,105,136,361.0
20,110,130,131.4
30,90,112,180.1
60,103,147,328.7
45,97,125,243.0
60,98,120,215.2
30,100,120,180.9
30,93,113,155.0
60,97,123,275.0
60,114,150,415.0
30,108,135,214.0
45,100,119,250.0
60,100,120,300
45,105,128,298.0
20,112,140,124.0
15,119,145,93.0
20,95,112,78.0
45,118,142,319.2
20,110,130,131.4
30,103,132,172.0
45,106,136,325.0
60,101,124,299.0
60,98,126,286.0
60,100,120,273.0
60,100,120,300.0
30,106,136,198.0
60,104,150,374.0
30,90,100,120.0
60,92,118,241.0
30,103,135,162.0
45,,145,314.0
60,109,150,400.0
45,111,149,300.0
60,109,145,387.6
45,104,134,253.3
30,80,120,240.9
60,115,151,450.0
45,108,145,290.0
30,100,120,?
