StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA
1643,18,1,Caucasian,Higher,18.11887935852530,24,1,,1,1,0,0,1.3962784383778900
2753,16,1,Other,Some College,2.4692714746147200,19,0,Low,0,0,0,1,0.7547506714781120
2402,17,0,Asian,Bachelor,3.456401029129050,25,0,,0,0,0,0,0.1361659080098040
3033,17,1,Caucasian,High School,15.83813076844470,25,1,Moderate,0,0,0,0,1.1721916329362500
1991,16,0,Caucasian,,1.0453733512319300,19,1,Moderate,0,0,1,0,1.7473564518959900
2456,15,1,African American,Bachelor,4.429870977192800,5,1,High,1,1,0,1,3.107348400568040
1276,18,1,African American,High School,8.742962100900690,9,0,Moderate,1,0,0,1,2.592786686317040
1787,17,0,Asian,Higher,2.5795781585433100,21,1,High,1,0,1,1,1.8865425000782800
2538,16,1,Caucasian,Some College,8.531838021087870,16,1,Moderate,0,0,0,1,1.666640097790170
1361,18,0,Caucasian,Some College,15.780812084040900,18,0,Very High,1,0,0,0,2.2166038146961000
3222,17,0,Caucasian,High School,9.211320151245120,19,1,Very High,0,1,1,1,1.99229884714332
1555,15,0,African American,Bachelor,10.549129274434600,4,1,Low,0,1,0,0,3.017063255946230
1942,15,1,Caucasian,Some College,4.843668911875350,21,0,Moderate,0,0,0,0,0.6721996800613400
1669,15,1,Caucasian,High School,16.414716816314600,12,0,High,1,1,0,0,2.6148839418291800
1458,18,1,Caucasian,Some College,19.671945994775500,9,0,Moderate,0,0,0,0,2.5372306390537000
3298,17,1,Other,Some College,4.139726060002390,10,0,Very High,1,0,0,0,2.710576700770990
2504,17,1,Asian,Some College,2.8766894198062200,6,0,Moderate,0,0,0,0,2.465117413971900
2422,15,0,African American,Bachelor,6.955401952088760,12,0,High,1,1,0,0,2.637266428600200
1846,15,0,Other,,16.83617418057640,10,0,High,0,0,0,0,2.275700147008360
2458,18,0,Caucasian,,8.184991475707950,19,0,Moderate,0,0,0,1,1.363340948163790
1644,15,0,Caucasian,High School,11.33612210020930,21,1,Moderate,1,0,0,0,1.6094867987939300
1287,15,0,Caucasian,Some College,18.276290452498900,12,1,Low,0,0,0,0,1.8949043363401100
2925,16,0,Asian,Some College,11.528111029072700,9,0,Moderate,0,1,0,0,2.4709240029839900
1407,16,0,Other,High School,0.0256885105360282,3,0,Very High,1,0,0,0,2.934586305266490
1870,16,1,African American,High School,2.0150568791915300,11,0,Moderate,0,0,0,0,1.6174602067259900
1164,18,1,Other,Some College,10.672338626184200,7,0,High,1,0,0,0,2.670559614819830
2959,15,1,Asian,Some College,15.532136795927800,29,0,Low,0,1,0,0,0.5847407288696450
2620,15,0,Caucasian,Bachelor,8.070972416273770,29,1,High,1,1,0,0,1.164702428020540
1424,17,1,Asian,Some College,5.621477708902260,0,1,Very High,0,0,1,0,3.770694721842290
2633,18,1,African American,High School,0.8101834588264370,3,0,High,0,1,1,0,3.133768038538140
2107,15,1,Caucasian,Some College,17.471111524541800,7,0,Moderate,0,1,0,0,3.1030753433789700
2720,15,1,African American,,2.8008962426845800,21,1,Very High,0,1,0,1,1.621772736089610
1678,18,1,African American,High School,5.915056692406590,2,1,High,0,0,0,0,3.120136639384950
1066,16,0,African American,High School,18.111642751462600,6,1,High,1,0,0,0,3.2618553073332900
3251,15,0,Asian,Some College,5.708105806056830,13,1,Moderate,0,1,0,0,2.2435930907680900
3282,17,1,Caucasian,Some College,17.42543701900230,29,0,Moderate,0,0,0,0,0.2145700909687170
3382,15,0,Asian,,10.095086471310800,5,0,High,0,0,0,0,2.956254523615620
2488,15,0,Caucasian,Bachelor,9.959526051747860,27,1,High,0,0,0,1,0.8563970426697210
1231,16,1,Caucasian,High School,13.392225130750400,25,0,Moderate,0,0,0,0,0.8196254779474450
2420,15,0,Caucasian,Some College,10.856827486681500,0,0,High,1,0,1,0,3.5655241629362700
3234,17,1,African American,,10.168119532892500,15,0,High,0,0,1,0,1.9337798086138700
2853,16,1,Caucasian,Bachelor,19.939810056251000,8,0,Low,0,1,0,1,2.2392539847060300
2188,15,0,Caucasian,High School,9.067412112083150,20,0,Moderate,1,1,1,0,1.7892398367181400
1621,18,0,Caucasian,High School,18.737068601820300,15,0,Low,1,1,0,0,2.1314052629810800
1927,15,0,Asian,High School,7.777029929482330,18,0,Low,0,1,0,0,1.4373707502913800
1375,15,1,African American,Some College,18.91347074101610,22,1,Moderate,1,0,0,0,1.6230778220088500
2352,18,0,Caucasian,High School,15.627124367904000,14,1,Low,1,0,0,1,1.748279682449190
2378,15,1,Caucasian,High School,8.263889576055950,2,0,Low,1,0,0,0,2.8138057680897100
2001,16,1,Asian,,4.720158606474240,16,1,High,1,0,1,0,1.834359140428030
1298,17,1,Caucasian,High School,10.254997995878600,11,1,High,0,0,0,0,1.992559805482
3077,18,0,Other,,4.970714878541860,6,0,Very High,0,0,0,0,2.684821286526620
1100,15,0,Caucasian,High School,17.500173994879400,24,0,Moderate,0,0,0,0,0.7220565813951910
2113,18,0,Asian,Bachelor,1.4902092363728000,15,0,Moderate,1,0,1,0,1.558059855369600
1875,16,1,Caucasian,Higher,2.5462375749345,16,0,Moderate,0,1,1,0,1.6896730848454300
1530,16,1,Asian,Higher,0.6211375207031120,16,1,Very High,0,0,0,0,1.88585022368373
3304,15,0,Asian,Some College,2.119118226880950,13,1,High,1,0,0,0,1.9965131156897800
2092,17,0,Other,High School,7.301878404636120,17,0,High,0,0,0,0,1.9307827968987500
3105,18,0,Caucasian,High School,8.359390871730540,24,0,High,0,0,0,0,0.6937125121602850
1186,15,0,African American,Some College,9.076931276138230,26,1,High,1,0,0,0,0.8963978990233950
2825,15,1,Caucasian,Bachelor,18.271560228053900,5,0,High,0,0,1,1,2.860396826235560
1768,18,0,Caucasian,High School,3.278405240938900,1,0,,0,1,0,0,2.731058898448730
2238,18,1,African American,Bachelor,9.043658787202160,23,0,Very High,1,1,0,0,1.3622335993641700
1745,17,1,Asian,Some College,12.95674077216450,17,0,High,0,1,0,0,2.0634635075133000
1512,16,1,Caucasian,High School,6.23406642985624,12,0,Moderate,0,0,0,1,1.4233383361752200
1648,15,0,African American,,14.55158644269890,19,0,Moderate,0,0,0,0,1.2477251942052900
2026,16,1,African American,Some College,8.148105432226980,16,0,Moderate,1,0,1,0,1.8860081741258300
2260,17,0,Caucasian,High School,4.934948413347620,26,1,Very High,0,0,0,0,0.8897149150878430
1999,18,1,Caucasian,Some College,12.761854515929000,9,1,High,0,0,1,0,2.629211521173770
2406,18,1,Caucasian,High School,15.36842142234480,8,0,High,0,1,0,0,2.510328721169090
2453,18,1,Caucasian,Some College,5.669222985281580,24,1,Low,0,0,1,0,0.7540357233429880
1989,16,0,Caucasian,High School,7.526236339099950,7,1,Moderate,0,1,0,0,3.009238322704300
1706,15,0,Caucasian,Bachelor,9.144608392390890,11,0,Low,1,0,0,0,2.1219640588635700
3180,18,1,African American,Some College,15.76237879890440,14,0,Moderate,1,1,0,0,2.435958199527400
1024,18,1,Other,Higher,18.94613798473920,20,0,Moderate,1,0,0,0,1.7701318767799700
2000,17,0,Asian,High School,5.763042715548060,16,1,Moderate,1,1,0,0,1.836642800001120
2916,16,1,African American,High School,1.4204913529865300,11,0,Low,1,0,1,0,2.03217846252961
1803,15,1,Caucasian,Some College,14.63410545446300,9,0,High,1,1,0,0,2.850351339225340
3286,18,0,Other,High School,0.3936643076282740,14,1,Moderate,0,1,1,1,2.09564819078084
2547,18,0,Caucasian,,4.401325095693840,2,1,Moderate,0,0,1,1,3.3633891187265900
3209,16,0,Caucasian,High School,10.697455115175100,24,0,Moderate,1,0,0,1,0.8762666604767740
2939,16,0,Caucasian,Bachelor,6.517802867872860,2,1,Moderate,0,1,0,0,3.4745618447603600
2659,15,1,Other,Some College,18.87130434313950,1,0,Moderate,0,0,0,0,3.618272712167230
1312,17,0,Caucasian,Some College,19.228351556931500,7,0,Moderate,0,0,1,1,3.157229638804090
1352,15,0,Caucasian,High School,10.952322013074900,3,0,Very High,0,0,0,0,2.874037360035300
1549,16,0,Caucasian,,18.061013062050300,13,0,Low,0,0,1,0,2.2062263414776700
1307,18,1,Asian,,8.789307487168840,13,0,Very High,0,0,0,0,2.0837969900968000
1288,15,0,African American,Some College,7.365909353114190,17,0,Low,0,0,0,0,1.4567426010872700
2599,18,1,Caucasian,,18.954656080126100,0,0,Low,1,0,1,0,3.4785197150728100
3327,16,1,Caucasian,Some College,11.13688826269130,4,0,Very High,1,1,0,0,3.546432808712970
2738,17,0,Caucasian,High School,4.312795254516980,4,0,High,1,1,0,0,3.1525193708574300
3006,17,1,Caucasian,Some College,8.157698537007180,11,0,Moderate,0,1,0,1,2.4399813258092300
2765,15,1,African American,High School,9.247228944954780,21,1,Moderate,0,1,0,0,1.4550854526151900
1892,17,1,Asian,,6.667356762331260,16,0,Moderate,0,1,0,0,1.803054426736250
2990,15,0,Caucasian,High School,16.4092258031663,2,1,Low,1,1,0,0,3.399542858486650
1839,18,1,African American,Bachelor,13.54147425316900,3,1,High,1,0,0,1,3.3104012689002000
2646,17,1,Asian,Some College,19.85607956372030,23,1,Low,1,0,0,0,1.391431871322010
2177,17,1,Asian,Some College,17.048777712837500,0,1,Moderate,0,0,0,0,3.496776544580720
2977,17,1,Caucasian,High School,2.695715698348760,8,0,Moderate,1,1,0,0,2.57239170870492
1014,17,0,African American,Some College,12.101425068754900,21,0,Very High,0,1,0,0,1.7515809583340800
2269,15,1,African American,Some College,3.5931857805982400,23,0,Moderate,1,0,0,1,0.9231815615047180
1515,16,1,Other,Some College,1.4471451548265300,22,0,High,1,1,0,0,1.1613543513353300
1410,16,1,Other,Bachelor,13.502597716888400,11,0,Moderate,0,1,0,0,2.437026300114270
1695,16,1,Caucasian,Some College,16.78415906078920,14,1,Low,0,0,0,0,2.398121085937690
1314,17,1,Asian,High School,16.14955871303820,25,0,,0,0,0,0,0.7963598478866480
2690,18,1,Caucasian,Higher,13.904593114954700,12,0,Low,0,0,0,1,1.6943843846574200
2623,16,0,African American,High School,2.530906223927550,29,0,Moderate,0,0,0,0,0.0
2744,17,0,Caucasian,Bachelor,11.417060510886300,7,0,Low,0,0,0,0,2.060172050067510
1694,18,0,African American,Some College,0.1690299212492110,22,0,Low,1,0,0,0,0.8813584466312140
3193,16,1,African American,Some College,15.827054473046700,28,0,Low,1,1,0,0,0.8181261027428250
1383,18,1,African American,High School,10.571684028748800,5,0,Moderate,1,0,0,1,2.661096903670220
1832,15,0,Caucasian,Bachelor,5.147309168032680,18,0,High,1,0,1,0,1.5835564956915300
2923,18,0,Other,Bachelor,18.73131223316010,12,0,Moderate,1,0,0,0,2.2346962873244900
3009,15,1,Caucasian,High School,14.04194376758980,13,1,Very High,1,0,0,0,2.6882293307172100
2308,18,0,Caucasian,Some College,18.64267830796570,22,0,High,1,0,0,0,1.24818256681425
2780,18,0,Other,Some College,6.453674141556410,23,1,Moderate,0,1,0,0,1.3486070016063300
1264,15,0,Caucasian,Some College,2.54816143390858,19,0,Very High,0,0,1,1,1.4450767191993800
3068,15,1,African American,Bachelor,14.078718146556600,9,1,High,1,0,0,0,3.030196982539540
3110,16,0,African American,High School,14.64601541216360,7,0,High,1,0,0,0,2.804363175110950
2702,16,0,Other,Some College,6.660152661044890,22,0,Low,0,0,0,0,0.7109569819873360
1963,16,0,Caucasian,Some College,10.779617489002400,1,0,High,1,0,1,0,3.2251582751891600
2054,17,1,African American,Some College,10.502817035392600,29,0,Low,1,0,0,0,0.3925490106038810
2059,16,1,Caucasian,,1.938346541339900,5,0,High,1,0,0,0,2.9381754672014500
1009,17,0,Caucasian,,4.562007558047700,1,0,Moderate,0,1,0,1,2.896819189513570
1317,17,1,Caucasian,Some College,6.736954028943050,27,0,Very High,0,0,0,0,0.534508880538856
1305,16,1,African American,Some College,6.859330394001560,4,0,Moderate,0,1,1,0,3.060881655966950
1428,18,1,Caucasian,High School,18.080699729091200,19,0,Moderate,0,0,0,1,1.3960904942452500
