Country Name,Country Code,Region,IncomeGroup,Year,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate)
Afghanistan,AFG,South Asia,Low income,2018,,,,19363000000,520.897,,47.9,,56.9378,1.542
Afghanistan,AFG,South Asia,Low income,2017,33.211,6.575,,20191800000,556.302,13.5,49.5,64.13,55.596,1.559
Afghanistan,AFG,South Asia,Low income,2016,33.981,6.742,,19362600000,547.228,11.2,51.2,63.763,54.1971,1.634
Afghanistan,AFG,South Asia,Low income,2015,34.809,6.929,,19907100000,578.466,8.26,53.1,63.377,52.7121,1.679
Afghanistan,AFG,South Asia,Low income,2014,35.706,7.141,,20484900000,613.856,7,55.1,62.966,51.1148,1.735
Afghanistan,AFG,South Asia,Low income,2013,36.67,7.38,,20561100000,637.165,5.9,57.3,62.525,49.428,1.725
Afghanistan,AFG,South Asia,Low income,2012,37.69,7.645,,20001600000,641.872,5.45455,59.5,62.054,47.7306,1.692
Afghanistan,AFG,South Asia,Low income,2011,38.75,7.936,,17804300000,591.162,5,61.9,61.553,46.1315,1.984
Afghanistan,AFG,South Asia,Low income,2010,39.829,8.25,,15856600000,543.303,4,64.3,61.028,44.7041,2.275
Afghanistan,AFG,South Asia,Low income,2009,40.903,8.584,,12439100000,438.076,3.55,66.8,60.484,43.493,2.47
Afghanistan,AFG,South Asia,Low income,2008,41.949,8.932,,10109200000,364.66,1.84,69.4,59.93,42.4628,2.494
Afghanistan,AFG,South Asia,Low income,2007,42.944,9.287,,9747890000,359.693,1.9,72,59.375,41.5105,2.128
Afghanistan,AFG,South Asia,Low income,2006,43.87,9.645,,6971290000,263.734,2.10712,74.7,58.826,40.4881,2.825
Afghanistan,AFG,South Asia,Low income,2005,44.723,10.003,,6209140000,242.031,1.22415,77.4,58.29,39.2952,2.942
Afghanistan,AFG,South Asia,Low income,2004,45.507,10.356,,5226780000,211.382,0.105809,80.1,57.772,37.8744,3.087
Afghanistan,AFG,South Asia,Low income,2003,46.231,10.704,,4515560000,190.684,0.0878913,82.8,57.271,36.2725,3.419
Afghanistan,AFG,South Asia,Low income,2002,46.901,11.048,,4055180000,179.426,0.0045614,85.4,56.784,34.6181,3.55
Afghanistan,AFG,South Asia,Low income,2001,47.505,11.387,,,,0.00472257,88,56.308,33.0959,3.426
Afghanistan,AFG,South Asia,Low income,2000,48.021,11.718,,,,,90.6,55.841,31.8291,3.517
Afghanistan,AFG,South Asia,Low income,1999,48.419,12.037,,,,,93.1,55.376,30.8961,3.606
Afghanistan,AFG,South Asia,Low income,1998,48.688,12.348,,,,,95.7,54.906,30.2328,3.536
Afghanistan,AFG,South Asia,Low income,1997,48.833,12.655,,,,,98.4,54.424,29.6497,3.603
Afghanistan,AFG,South Asia,Low income,1996,48.87,12.964,,,,,101.1,53.924,28.8782,3.621
